epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6995,1.85595,5.63208,2.00784,0.07469,0.18636,0.05001,0.02239,1.69586,6.53766,2.3161,7.145e-05,7.145e-05,7.145e-05
2,107.696,1.85729,3.86986,2.05666,0.0836,0.42086,0.14827,0.0712,1.74237,11.6027,2.07392,0.000156153,0.000156153,0.000156153
3,151.548,1.52401,2.99222,1.726,0.34265,0.27098,0.228,0.12486,1.50247,4.98831,1.8209,0.000239723,0.000239723,0.000239723
4,193.878,1.47237,2.83115,1.58393,0.51448,0.41437,0.39206,0.20432,1.54643,3.26257,1.86332,0.000322162,0.000322162,0.000322162
5,234.933,1.35795,2.30577,1.52051,0.78014,0.29237,0.33596,0.2269,1.42185,2.82026,1.79144,0.00040347,0.00040347,0.00040347
6,274.965,1.20707,2.35636,1.39459,0.49961,0.43609,0.44998,0.30339,1.33965,2.73782,1.75987,0.000483645,0.000483645,0.000483645
7,315.559,1.17999,2.12018,1.37008,0.40972,0.47645,0.47966,0.31479,1.22113,4.71866,1.63638,0.000562689,0.000562689,0.000562689
8,360.132,1.39669,2.17779,1.55721,0.4259,0.46259,0.48729,0.3119,1.30592,4.2672,1.85876,0.000640601,0.000640601,0.000640601
9,401.583,1.25427,1.93962,1.43944,0.36722,0.60256,0.38072,0.2121,1.33924,15.6519,1.86414,0.000717381,0.000717381,0.000717381
10,441.428,1.34237,2.25416,1.48326,0.39763,0.40171,0.31508,0.20492,1.42538,5.62241,1.90193,0.000793029,0.000793029,0.000793029
11,481.719,1.45625,2.35546,1.5554,0.27515,0.41678,0.26752,0.15531,1.50866,4.17871,2.1398,0.000867546,0.000867546,0.000867546
12,523.39,1.35485,2.22828,1.55578,0.58694,0.21131,0.2589,0.15684,1.5359,4.97351,2.08662,0.000940931,0.000940931,0.000940931
13,562.66,1.42004,1.97775,1.53712,0.16917,0.65117,0.30028,0.19149,1.57066,19.422,2.0782,0.00101318,0.00101318,0.00101318
