epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8081,1.53005,4.5179,1.6541,0.0035,0.42637,0.01703,0.01115,1.21899,3.69914,1.45948,9.163e-05,9.163e-05,9.163e-05
2,40.4072,1.26665,4.08263,1.42126,0.00658,0.6765,0.19811,0.13664,1.15466,3.47333,1.21605,0.000190642,0.000190642,0.000190642
3,56.1083,1.18644,3.5162,1.30192,0.00533,0.74284,0.26658,0.1902,1.07545,3.36525,1.11814,0.000288664,0.000288664,0.000288664
4,73.038,1.16302,2.98272,1.22514,0.95619,0.09521,0.4424,0.32511,1.0443,3.1169,1.12241,0.000385696,0.000385696,0.000385696
5,88.9065,1.16227,2.6094,1.21391,0.875,0.01055,0.38156,0.26668,1.06636,3.04279,1.08954,0.000481739,0.000481739,0.000481739
6,104.759,1.10246,2.36898,1.15689,0.69106,0.23721,0.54087,0.37499,1.01683,2.60163,1.11001,0.000576792,0.000576792,0.000576792
7,122.922,1.09301,2.26738,1.16685,0.58047,0.20141,0.40029,0.30024,1.13284,2.84491,1.1534,0.000670856,0.000670856,0.000670856
8,139.244,0.98025,2.11337,1.09412,0.61835,0.13583,0.21269,0.1467,1.12173,3.05153,1.15244,0.00076393,0.00076393,0.00076393
9,155.252,1.09852,2.08801,1.17275,0.50207,0.14828,0.33096,0.22747,1.18127,2.98706,1.1955,0.000800013,0.000800013,0.000800013
10,171.191,1.02243,1.90288,1.11751,0.5738,0.17256,0.34205,0.22262,1.14414,2.84894,1.22975,0.00079589,0.00079589,0.00079589
11,187.721,1.01765,1.88639,1.12595,0.68591,0.25991,0.35396,0.24554,1.20039,2.83206,1.22128,0.000791767,0.000791767,0.000791767
12,203.418,0.9914,1.65184,1.09314,0.51659,0.27794,0.42465,0.27945,1.14929,2.78236,1.22998,0.000787643,0.000787643,0.000787643
13,219.93,0.95867,1.61369,1.05573,0.43456,0.403,0.42138,0.30362,1.1461,2.52216,1.19499,0.00078352,0.00078352,0.00078352
14,235.51,0.8887,1.52446,1.05014,0.57414,0.59423,0.60583,0.45797,0.97108,2.19005,1.05642,0.000779396,0.000779396,0.000779396
15,252.452,0.89538,1.43721,1.0276,0.65132,0.64722,0.73136,0.57411,0.86138,1.77748,1.02383,0.000775273,0.000775273,0.000775273
16,269.978,0.84611,1.46565,1.02768,0.67191,0.59038,0.66909,0.51485,0.96278,2.54733,1.05811,0.00077115,0.00077115,0.00077115
17,285.283,0.86039,1.40574,1.03712,0.68834,0.63847,0.81216,0.63238,0.86468,1.57206,0.99631,0.000767026,0.000767026,0.000767026
18,302.553,0.90198,1.35651,1.05135,0.72387,0.77429,0.79907,0.61556,0.89024,1.29792,0.99953,0.000762903,0.000762903,0.000762903
19,318.289,0.86651,1.28848,1.04067,0.74237,0.7511,0.8474,0.65833,0.84349,1.18528,0.998,0.00075878,0.00075878,0.00075878
20,334.339,0.8292,1.30648,1.0194,0.72273,0.6956,0.74426,0.56885,0.90637,1.42734,1.0489,0.000754656,0.000754656,0.000754656
21,349.791,0.80839,1.26159,1.00826,0.7764,0.82375,0.87621,0.68756,0.83239,1.18042,0.97522,0.000750533,0.000750533,0.000750533
22,366.176,0.7859,1.132,1.00359,0.80638,0.80043,0.85668,0.67045,0.88269,1.00706,1.00108,0.00074641,0.00074641,0.00074641
23,381.263,0.75671,1.12846,1.00159,0.94173,0.72692,0.90115,0.72781,0.79256,0.89426,1.00033,0.000742286,0.000742286,0.000742286
24,399.725,0.7374,1.06346,1.00015,0.83351,0.83351,0.90311,0.71182,0.78686,0.81861,0.99156,0.000738163,0.000738163,0.000738163
25,417.947,0.77631,1.11133,1.02171,0.98049,0.83753,0.9225,0.7517,0.78335,0.80643,0.97934,0.00073404,0.00073404,0.00073404
26,434.395,0.78228,1.03751,0.99413,0.93418,0.93602,0.96967,0.80301,0.69284,0.64932,0.92233,0.000729916,0.000729916,0.000729916
27,450.304,0.70621,0.91246,0.95889,0.87745,0.96775,0.97341,0.82368,0.6595,0.59476,0.90626,0.000725793,0.000725793,0.000725793
