epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1598,2.19765,6.34722,1.69479,2e-05,0.00909,1e-05,1e-05,1.80564,5.32374,1.51019,0.00015554,0.00015554,0.00015554
2,32.9738,1.89714,5.28768,1.41069,0.0003,0.13077,0.00764,0.00359,1.61408,4.87841,1.22442,0.000321127,0.000321127,0.000321127
3,49.4208,1.96241,4.68845,1.4173,0.00105,0.17622,0.00319,0.00071,1.52559,4.75875,1.28902,0.000485614,0.000485614,0.000485614
4,64.2823,1.77707,3.91591,1.33104,0.00657,0.14026,0.05414,0.03281,1.72462,4.87284,1.23393,0.000649001,0.000649001,0.000649001
5,79.1781,1.69344,3.55968,1.28714,1,0.02941,0.20121,0.14081,1.63625,4.43257,1.26842,0.000811288,0.000811288,0.000811288
6,94.9002,1.66608,3.13121,1.29691,0.96465,0.15678,0.36406,0.21803,1.63512,3.35597,1.35609,0.000972475,0.000972475,0.000972475
7,109.415,1.65287,2.84736,1.30729,0.87726,0.26813,0.51982,0.3179,1.53748,2.61136,1.31126,0.001089,0.001089,0.001089
8,124.682,1.58496,2.63165,1.26963,0.78838,0.16786,0.24571,0.13218,1.88643,3.06903,1.3434,0.00108534,0.00108534,0.00108534
9,140.477,1.50675,2.38124,1.23528,0.7823,0.23804,0.47791,0.23253,1.77266,2.55219,1.38008,0.00108167,0.00108167,0.00108167
10,155.128,1.51486,2.15052,1.25248,0.84121,0.58914,0.66876,0.34001,1.68399,1.60074,1.37289,0.001078,0.001078,0.001078
11,170.541,1.45469,2.03773,1.22378,0.70216,0.53313,0.62186,0.38003,1.4661,1.62283,1.26181,0.00107434,0.00107434,0.00107434
12,185.902,1.35378,1.82255,1.19863,0.61061,0.66161,0.68305,0.40748,1.42814,1.44372,1.233,0.00107067,0.00107067,0.00107067
13,202.024,1.35197,1.72383,1.18471,0.68443,0.58772,0.66776,0.41396,1.39335,1.33652,1.27591,0.001067,0.001067,0.001067
14,218.479,1.33936,1.64879,1.14798,0.93991,0.53346,0.71497,0.43884,1.47984,1.38006,1.35388,0.00106334,0.00106334,0.00106334
15,233.536,1.24373,1.47823,1.09753,0.82225,0.60684,0.71149,0.45227,1.40162,1.351,1.29266,0.00105967,0.00105967,0.00105967
16,248.522,1.27833,1.4219,1.14273,0.7928,0.63843,0.72672,0.4605,1.37031,1.27859,1.24122,0.00105601,0.00105601,0.00105601
17,263.392,1.26196,1.35692,1.13951,0.7981,0.72701,0.80423,0.50725,1.21671,1.12377,1.15019,0.00105234,0.00105234,0.00105234
18,278.843,1.20679,1.24092,1.10807,0.78564,0.75352,0.81841,0.53694,1.24278,1.04252,1.1774,0.00104867,0.00104867,0.00104867
19,293.716,1.1911,1.26351,1.08002,0.73415,0.74271,0.77323,0.46305,1.34526,1.19814,1.23426,0.00104501,0.00104501,0.00104501
20,308.659,1.20604,1.17545,1.0955,0.80493,0.73918,0.81301,0.53323,1.21126,1.04499,1.15972,0.00104134,0.00104134,0.00104134
21,324.362,1.14285,1.12574,1.08262,0.80623,0.75721,0.82624,0.57167,1.21995,0.9861,1.20051,0.00103767,0.00103767,0.00103767
22,339.307,1.1268,1.13927,1.05575,0.80319,0.79691,0.86095,0.56928,1.18233,0.93753,1.13128,0.00103401,0.00103401,0.00103401
23,354.631,1.13598,1.0899,1.06446,0.7838,0.82271,0.8484,0.56639,1.15136,0.9912,1.11371,0.00103034,0.00103034,0.00103034
24,370.556,1.09869,0.99397,1.03997,0.94431,0.81416,0.89043,0.61878,1.09973,0.86675,1.10256,0.00102668,0.00102668,0.00102668
25,385.718,1.10253,0.99921,1.04916,0.86742,0.82284,0.88526,0.62537,1.11844,0.95532,1.10018,0.00102301,0.00102301,0.00102301
26,401.17,1.15267,1.00408,1.07855,0.89257,0.80999,0.92037,0.66877,1.03839,0.92464,1.06984,0.00101934,0.00101934,0.00101934
27,416.592,1.03208,0.92684,1.03184,0.97958,0.86157,0.93734,0.66432,1.09281,0.80397,1.08455,0.00101568,0.00101568,0.00101568
28,431.93,1.03003,0.89546,1.00403,0.86841,0.91583,0.93496,0.65074,1.08998,0.7913,1.09094,0.00101201,0.00101201,0.00101201
29,446.246,1.06526,0.96931,1.04555,0.88266,0.89326,0.92458,0.64842,1.03533,0.77098,1.08855,0.00100834,0.00100834,0.00100834
30,462.221,1.05522,0.91211,1.02858,0.94153,0.89667,0.93381,0.68175,1.01064,0.75205,1.06262,0.00100468,0.00100468,0.00100468
31,477.057,1.03592,0.87828,1.03213,0.915,0.90657,0.93295,0.67048,0.99612,0.78621,1.0313,0.00100101,0.00100101,0.00100101
32,492.053,1.01227,0.8602,1.01491,0.952,0.85899,0.91825,0.64066,1.07696,0.80843,1.08799,0.000997345,0.000997345,0.000997345
33,506.979,1.01324,0.87008,1.0284,0.81407,0.78678,0.86032,0.59848,1.17921,0.99674,1.15311,0.000993678,0.000993678,0.000993678
34,522.62,1.04349,0.89285,1.05112,0.90158,0.89874,0.93272,0.68764,1.01044,0.75387,1.07014,0.000990012,0.000990012,0.000990012
35,539.511,0.97762,0.82145,1.00553,0.95655,0.86351,0.94266,0.6517,1.142,0.79054,1.1244,0.000986346,0.000986346,0.000986346
36,553.887,0.96857,0.78122,0.98884,0.89882,0.8672,0.92604,0.68747,0.95184,0.72292,1.02624,0.000982679,0.000982679,0.000982679
37,569.14,0.91155,0.73442,0.98382,0.92891,0.90864,0.94959,0.71417,0.93849,0.69261,1.01904,0.000979013,0.000979013,0.000979013
38,585.018,0.95607,0.75512,0.98444,0.94674,0.88133,0.92457,0.68558,0.98891,0.68347,1.06311,0.000975347,0.000975347,0.000975347
39,599.59,0.94849,0.76097,0.98331,0.92416,0.88983,0.93219,0.65644,0.98424,0.77717,1.03766,0.000971681,0.000971681,0.000971681
40,613.931,0.95015,0.75481,0.97959,0.96418,0.92096,0.96506,0.71251,0.96152,0.65546,1.03457,0.000968014,0.000968014,0.000968014
41,631.352,0.954,0.74606,0.98723,0.92142,0.93085,0.96191,0.71663,0.97377,0.76187,1.02805,0.000964348,0.000964348,0.000964348
42,645.999,0.91735,0.72698,0.98162,0.93303,0.94449,0.95919,0.69939,0.98111,0.72097,1.05646,0.000960682,0.000960682,0.000960682
43,661.733,0.89414,0.72253,0.96987,0.93045,0.86781,0.95064,0.68223,1.00505,0.72015,1.07782,0.000957015,0.000957015,0.000957015
44,677.507,0.88086,0.68246,0.95183,0.94724,0.93377,0.95443,0.72195,0.90588,0.64556,1.00611,0.000953349,0.000953349,0.000953349
45,692.12,0.93248,0.70694,0.97722,0.92775,0.92629,0.94728,0.69201,0.97141,0.69039,1.04056,0.000949683,0.000949683,0.000949683
46,707.728,0.90227,0.68435,0.96574,0.96788,0.93489,0.97499,0.76236,0.83739,0.61612,0.98726,0.000946016,0.000946016,0.000946016
47,723.655,0.89183,0.70983,0.97633,0.98509,0.93613,0.97736,0.76516,0.86648,0.59177,0.97917,0.00094235,0.00094235,0.00094235
48,739.795,0.86398,0.67661,0.94339,0.96101,0.96508,0.98142,0.75618,0.8786,0.57651,0.98602,0.000938684,0.000938684,0.000938684
49,755.012,0.87985,0.68128,0.94878,0.94107,0.96757,0.97874,0.76514,0.8136,0.57071,0.95454,0.000935018,0.000935018,0.000935018
50,770.664,0.86003,0.65851,0.9501,0.96235,0.95447,0.97066,0.73357,0.92515,0.55358,1.00369,0.000931351,0.000931351,0.000931351
51,785.409,0.86583,0.62754,0.93742,0.98455,0.94674,0.96905,0.76037,0.86513,0.54576,0.98419,0.000927685,0.000927685,0.000927685
52,800.325,0.85395,0.65856,0.95847,0.98177,0.96635,0.98179,0.74098,0.84181,0.58645,0.9748,0.000924019,0.000924019,0.000924019
53,815.639,0.87189,0.65077,0.95374,0.95043,0.92638,0.95477,0.73794,0.86268,0.62348,0.9868,0.000920352,0.000920352,0.000920352
54,830.099,0.88081,0.65981,0.95261,0.92674,0.90666,0.96735,0.7438,0.87276,0.63057,0.98108,0.000916686,0.000916686,0.000916686
55,845.358,0.82454,0.63218,0.94293,0.92472,0.86026,0.93193,0.70956,0.92494,0.69213,1.00796,0.00091302,0.00091302,0.00091302
56,859.834,0.80462,0.62942,0.94128,0.98704,0.95151,0.96759,0.79044,0.76011,0.5108,0.93513,0.000909353,0.000909353,0.000909353
57,875.14,0.84034,0.646,0.95168,0.94053,0.91875,0.9715,0.74532,0.87046,0.60526,0.98555,0.000905687,0.000905687,0.000905687
58,890.394,0.84002,0.64294,0.94301,0.93599,0.93878,0.97831,0.7559,0.83313,0.65001,0.97322,0.000902021,0.000902021,0.000902021
59,904.837,0.82001,0.61261,0.93454,0.96308,0.95676,0.9729,0.78736,0.78685,0.53422,0.93392,0.000898355,0.000898355,0.000898355
60,919.749,0.80931,0.60325,0.93574,0.96443,0.95167,0.98247,0.78011,0.82881,0.55979,0.96125,0.000894688,0.000894688,0.000894688
61,936.92,0.8215,0.62494,0.93886,0.99086,0.95973,0.98537,0.79096,0.79487,0.53016,0.94315,0.000891022,0.000891022,0.000891022
62,952.732,0.80308,0.59647,0.91343,0.98984,0.94551,0.98446,0.75588,0.91443,0.53339,0.99392,0.000887356,0.000887356,0.000887356
63,967.954,0.81505,0.58467,0.93382,0.98615,0.95682,0.96488,0.79012,0.75223,0.5043,0.93054,0.000883689,0.000883689,0.000883689
64,983.152,0.8122,0.61906,0.93494,0.93872,0.98919,0.98284,0.78252,0.80087,0.52044,0.97422,0.000880023,0.000880023,0.000880023
65,998.747,0.79166,0.59112,0.91969,0.96463,0.90148,0.95371,0.77139,0.81009,0.57521,0.96551,0.000876357,0.000876357,0.000876357
66,1013.29,0.80291,0.60023,0.92418,0.97131,0.9408,0.9693,0.7962,0.74118,0.53434,0.92481,0.000872691,0.000872691,0.000872691
67,1029.08,0.78491,0.56491,0.923,0.98358,0.94054,0.97939,0.77034,0.81035,0.56027,0.95606,0.000869024,0.000869024,0.000869024
