epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5966,1.91939,5.15783,2.03438,0.00065,0.32555,0.01011,0.0033,1.63069,4.66389,2.13364,8.75e-05,8.75e-05,8.75e-05
2,30.6184,1.58978,4.89681,1.72781,0.001,0.25824,0.00748,0.00286,1.60103,4.6107,1.67472,0.000186881,0.000186881,0.000186881
3,40.6981,1.15443,4.35968,1.39608,0.00431,0.44254,0.17577,0.06301,1.27722,4.31949,1.44528,0.000285603,0.000285603,0.000285603
4,49.5232,1.13921,3.82965,1.38148,0.00133,0.25069,0.11359,0.03617,1.49198,4.49969,1.43807,0.000383664,0.000383664,0.000383664
5,57.1234,1.01092,3.30329,1.2994,0.00231,0.48237,0.05816,0.02429,1.92933,4.77435,1.70386,0.000481065,0.000481065,0.000481065
6,63.9874,0.99717,3.29674,1.31823,0.00225,0.51545,0.13945,0.07042,1.6367,4.32445,1.61591,0.000577806,0.000577806,0.000577806
7,71.8864,1.01404,2.78753,1.30363,0.00152,0.55861,0.1466,0.09316,1.29681,4.12623,1.2838,0.000673888,0.000673888,0.000673888
8,79.0954,0.93229,2.39424,1.18606,0.71813,0.11679,0.2308,0.14693,1.24528,3.87312,1.32362,0.000769309,0.000769309,0.000769309
9,86.4763,0.988,2.48181,1.26961,0.82557,0.21949,0.55327,0.38772,1.05057,3.38269,1.43266,0.00086407,0.00086407,0.00086407
10,93.7604,0.91636,2.24208,1.19289,0.75928,0.21966,0.5663,0.38403,1.03447,3.40857,1.39127,0.000958171,0.000958171,0.000958171
11,101.555,0.87754,2.13995,1.20967,0.65229,0.38778,0.57201,0.30714,1.24759,3.67762,1.71132,0.00105161,0.00105161,0.00105161
12,108.016,1.02176,2.15406,1.25762,0.54774,0.40701,0.54618,0.3175,1.30427,3.07944,1.70117,0.00114439,0.00114439,0.00114439
13,115.492,0.96693,2.01782,1.26752,0.49904,0.41868,0.3947,0.25534,1.56742,3.50282,1.99526,0.0012005,0.0012005,0.0012005
14,122.065,0.92915,2.04928,1.22918,0.61929,0.33525,0.40638,0.27173,1.42939,3.021,1.88314,0.00119637,0.00119637,0.00119637
15,129.18,0.87823,1.81208,1.20715,0.51749,0.64068,0.50243,0.2866,1.48088,2.86679,2.25493,0.00119225,0.00119225,0.00119225
16,138.205,0.93575,1.9922,1.27188,0.2266,0.39071,0.26692,0.16264,1.44709,3.1186,2.0091,0.00118812,0.00118812,0.00118812
17,144.856,0.97431,1.93199,1.23061,0.57132,0.3898,0.42001,0.30072,1.37491,2.73652,1.8521,0.001184,0.001184,0.001184
18,152.512,0.83972,1.62151,1.19263,0.43847,0.58333,0.56616,0.31613,1.34173,2.36299,1.57665,0.00117988,0.00117988,0.00117988
19,159.74,0.82642,1.57175,1.15049,0.75223,0.51652,0.60574,0.39213,1.25142,2.075,1.55759,0.00117575,0.00117575,0.00117575
20,166.31,0.85559,1.52251,1.23116,0.78697,0.61467,0.78439,0.49305,1.07965,1.79272,1.40654,0.00117163,0.00117163,0.00117163
21,175.681,0.85487,1.54767,1.18403,0.6791,0.67477,0.70786,0.48202,1.06862,1.69805,1.52516,0.0011675,0.0011675,0.0011675
22,182.528,0.80689,1.32929,1.13149,0.70558,0.78985,0.95445,0.69249,0.83279,1.54274,1.24017,0.00116337,0.00116337,0.00116337
23,189.301,0.82312,1.31101,1.1676,0.83511,0.84299,0.88848,0.71343,0.81115,1.17581,1.28819,0.00115925,0.00115925,0.00115925
24,196.28,0.86691,1.37451,1.18717,0.7707,0.73249,0.84736,0.58272,1.00133,1.23421,1.63841,0.00115513,0.00115513,0.00115513
25,205.753,0.76639,1.2615,1.16826,0.80191,0.91921,0.94114,0.72896,0.82892,0.96717,1.1944,0.001151,0.001151,0.001151
26,213.14,0.76137,1.23098,1.13989,0.82124,0.78916,0.90371,0.67106,0.83615,1.13913,1.13053,0.00114688,0.00114688,0.00114688
27,219.435,0.7975,1.16122,1.17655,0.85681,0.86744,0.87892,0.64072,0.95857,1.36961,1.30347,0.00114275,0.00114275,0.00114275
28,227.361,0.72486,1.14974,1.11377,0.74209,0.62554,0.70719,0.50304,1.07036,1.45236,1.43332,0.00113863,0.00113863,0.00113863
29,233.315,0.74838,1.1436,1.10974,0.72776,0.7524,0.7705,0.51545,0.98518,1.66516,1.34135,0.0011345,0.0011345,0.0011345
30,241.777,0.71834,1.07992,1.10308,0.84546,0.73224,0.79521,0.58131,0.92415,1.34924,1.30326,0.00113038,0.00113038,0.00113038
31,247.998,0.73076,1.0747,1.09388,0.90649,0.83199,0.91451,0.72376,0.8309,1.29492,1.18344,0.00112625,0.00112625,0.00112625
32,255.363,0.69162,1.01129,1.09748,0.71398,0.83638,0.83552,0.67922,0.88074,1.23262,1.28509,0.00112213,0.00112213,0.00112213
33,263.983,0.71095,0.96629,1.05766,0.92293,0.85563,0.947,0.68539,0.99511,1.16105,1.35742,0.001118,0.001118,0.001118
34,270.383,0.67707,0.93877,1.04539,0.86247,0.73554,0.83982,0.62691,0.86765,1.3809,1.21607,0.00111388,0.00111388,0.00111388
35,278.63,0.70725,0.96506,1.06539,0.74943,0.90797,0.82371,0.60795,0.99357,1.43963,1.35963,0.00110975,0.00110975,0.00110975
36,284.958,0.67477,0.92598,1.0582,0.90832,0.92632,0.9855,0.80237,0.70426,1.10837,1.11105,0.00110563,0.00110563,0.00110563
37,292.228,0.65267,0.91057,1.0575,0.82302,0.75635,0.88057,0.70255,0.7756,1.47351,1.18717,0.0011015,0.0011015,0.0011015
38,299.19,0.7155,0.96676,1.10347,0.64154,0.89328,0.71921,0.59642,0.73892,1.46666,1.18294,0.00109738,0.00109738,0.00109738
39,307.914,0.62506,0.85263,1.05313,0.48105,0.80393,0.76281,0.57669,0.89927,1.76641,1.43269,0.00109325,0.00109325,0.00109325
40,314.052,0.65311,0.87926,1.10784,0.69353,0.82269,0.86412,0.67317,0.74675,1.21379,1.20975,0.00108913,0.00108913,0.00108913
41,321.648,0.57192,0.78727,0.9928,0.93023,0.89011,0.94047,0.75025,0.76461,0.85099,1.1473,0.001085,0.001085,0.001085
42,327.157,0.60031,0.78886,1.01306,0.82164,0.75344,0.85408,0.67973,0.85172,1.04812,1.25328,0.00108088,0.00108088,0.00108088
43,335.148,0.67142,0.85935,1.09362,0.78983,0.9375,0.97058,0.75676,0.77764,0.87283,1.17093,0.00107675,0.00107675,0.00107675
44,342.252,0.64701,0.82227,1.04938,0.77115,0.97179,0.95608,0.81396,0.65842,0.73648,1.09738,0.00107263,0.00107263,0.00107263
45,350.036,0.67492,0.87641,1.04519,0.89537,0.7332,0.91128,0.76386,0.68509,0.87682,1.09297,0.0010685,0.0010685,0.0010685
46,356.223,0.65063,0.78304,1.04869,0.93886,0.89124,0.96299,0.79769,0.68123,0.74474,1.11586,0.00106437,0.00106437,0.00106437
47,363.942,0.60701,0.73608,1.04649,0.97368,1,0.995,0.83368,0.66654,0.55176,1.07606,0.00106025,0.00106025,0.00106025
48,369.676,0.60819,0.73175,1.02672,0.91274,0.96485,0.98447,0.84927,0.58481,0.74482,1.02325,0.00105612,0.00105612,0.00105612
