epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7339,2.19888,5.41554,2.03655,0.01034,0.30369,0.01241,0.00458,2.03746,3.91027,1.89995,0.00016362,0.00016362,0.00016362
2,42.1523,1.82611,4.17858,1.61543,0.01123,0.91175,0.22707,0.11262,1.56352,3.42147,1.28497,0.00033522,0.00033522,0.00033522
3,62.6085,1.7886,3.36951,1.53061,0.00493,0.89467,0.36769,0.20145,1.46269,3.42883,1.45428,0.00050568,0.00050568,0.00050568
4,83.746,1.6872,2.94373,1.45843,0.00549,0.89105,0.4783,0.25949,1.53534,3.1559,1.43468,0.000675001,0.000675001,0.000675001
5,104.51,1.62817,2.77512,1.44304,0.51354,0.51824,0.55927,0.278,1.67541,2.46849,1.6196,0.000843181,0.000843181,0.000843181
6,124.569,1.64719,2.69731,1.4509,0.59633,0.39603,0.51061,0.30324,1.55186,3.02965,1.60072,0.000894001,0.000894001,0.000894001
7,145.775,1.57218,2.44079,1.4215,0.58028,0.47865,0.49636,0.2744,1.56485,2.75043,1.64745,0.000891002,0.000891002,0.000891002
8,166.069,1.51324,2.22475,1.38306,0.61222,0.67013,0.657,0.40738,1.44163,2.00232,1.52273,0.000888002,0.000888002,0.000888002
9,187.196,1.4759,2.03912,1.35864,0.5717,0.58112,0.62692,0.358,1.59784,2.03883,1.63929,0.000885002,0.000885002,0.000885002
10,207.08,1.48772,1.92949,1.36574,0.59458,0.6613,0.69019,0.41643,1.52758,1.52424,1.59461,0.000882003,0.000882003,0.000882003
11,228.137,1.43378,1.84561,1.36376,0.5054,0.8217,0.6953,0.40163,1.50035,1.57719,1.54102,0.000879003,0.000879003,0.000879003
12,250.062,1.49154,1.78858,1.35657,0.53065,0.57381,0.58272,0.32388,1.52555,1.85043,1.69503,0.000876003,0.000876003,0.000876003
13,271.258,1.41628,1.73481,1.32031,0.6159,0.76542,0.72574,0.42604,1.4318,1.42323,1.53436,0.000873004,0.000873004,0.000873004
14,291.179,1.39168,1.65713,1.32826,0.71748,0.76026,0.78117,0.4586,1.41634,1.30746,1.47401,0.000870004,0.000870004,0.000870004
15,312.749,1.32535,1.55508,1.29902,0.56175,0.70069,0.67252,0.40232,1.3906,1.61587,1.47848,0.000867004,0.000867004,0.000867004
16,332.847,1.31848,1.46464,1.27364,0.71958,0.72014,0.77364,0.49149,1.29452,1.24149,1.41652,0.000864004,0.000864004,0.000864004
17,353.058,1.30993,1.43922,1.28465,0.55782,0.78587,0.71816,0.4139,1.49022,1.38022,1.5569,0.000861005,0.000861005,0.000861005
18,374.265,1.3279,1.45252,1.30629,0.69389,0.75922,0.76475,0.4754,1.31187,1.23827,1.33308,0.000858005,0.000858005,0.000858005
19,393.976,1.29276,1.36208,1.24514,0.7307,0.89421,0.83976,0.54799,1.28685,1.0215,1.39169,0.000855005,0.000855005,0.000855005
20,415.621,1.25013,1.34157,1.25332,0.77101,0.81272,0.79538,0.51854,1.34451,1.38666,1.53039,0.000852006,0.000852006,0.000852006
21,434.905,1.23024,1.28282,1.23521,0.72804,0.82051,0.82403,0.51075,1.38558,1.26732,1.46088,0.000849006,0.000849006,0.000849006
22,455.867,1.26493,1.29732,1.22141,0.70225,0.81257,0.83111,0.55734,1.24874,1.08944,1.36385,0.000846006,0.000846006,0.000846006
23,476.334,1.2215,1.2474,1.20898,0.81516,0.80425,0.85753,0.57329,1.23509,1.19558,1.34673,0.000843007,0.000843007,0.000843007
24,496.927,1.19125,1.20391,1.19956,0.76955,0.76026,0.84823,0.56594,1.18769,1.0414,1.26411,0.000840007,0.000840007,0.000840007
25,517.61,1.1578,1.16204,1.17602,0.75265,0.7972,0.83807,0.59488,1.17746,1.12339,1.31314,0.000837007,0.000837007,0.000837007
26,537.692,1.17983,1.13662,1.20294,0.83769,0.89009,0.93136,0.64193,1.14148,0.89419,1.32215,0.000834007,0.000834007,0.000834007
27,559.998,1.12845,1.05226,1.16897,0.82552,0.7921,0.9021,0.61804,1.2038,1.49801,1.34379,0.000831008,0.000831008,0.000831008
28,579.641,1.15335,1.06407,1.18513,0.71608,0.81657,0.88128,0.59351,1.24165,1.08644,1.40198,0.000828008,0.000828008,0.000828008
29,600.69,1.1137,1.0327,1.15635,0.78508,0.78215,0.81823,0.54732,1.25528,1.23156,1.34461,0.000825008,0.000825008,0.000825008
30,620.37,1.12305,1.01812,1.16091,0.64878,0.71908,0.78256,0.49707,1.37313,1.23647,1.53571,0.000822009,0.000822009,0.000822009
